"trialid","passage","qnum","question","image","choice1","choice2","choice3","choice4","choice5","correct","explanation"
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","3","What is assumed when the claim “Alex can only buy a cat, a dog, or a hamster, but he should not buy a dog or a hamster,” is used to support the claim that Alex should buy a cat?","AQ005E_image_02.png","Alex should buy a pet.","Alex likes cats.","Nothing is assumed in the inference.","Alex wants to buy a cat.","A cat would make a good pet for Alex.","Alex should buy a pet.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet."
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","4","Which of the following is used to directly support the claim “Alex shouldn’t buy a hamster”?","AQ005E_image_03.png","Hamsters are boring.","Dogs are more playful than hamsters.","Hamsters are too small to play with.","Alex would not be able to afford a hamster.","Hamsters and cats do not get along.","Hamsters are boring.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet. For the claim that Alex shouldn’t buy a hamster, the reason given is that hamsters are boring. "
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","5","What is assumed when the claim “hamsters are boring,” is used to support the claim that Alex shouldn’t buy a hamster?","AQ005E_image_04.png","Cats and dogs are not boring.","Dogs are more playful than cats.","Alex shouldn’t buy a boring animal.","Alex should buy the best pet.","Hamsters do not need to be walked.","Alex shouldn’t buy a boring animal.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet. For the claim that Alex shouldn’t buy a hamster, the reason given is that hamsters are boring. This inference assumes that Alex shouldn’t buy a boring animal. "
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","6","Which of the following is used to directly support the claim “Alex shouldn’t buy a dog”?","AQ005E_image_05.png","Dogs are more playful than cats.","Dogs are very tiring to take care of.","Alex likes cats more than dogs.","Alex doesn’t have time to walk a dog.","Dogs are boring.","Alex doesn’t have time to walk a dog.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet. For the claim that Alex shouldn’t buy a hamster, the reason given is that hamsters are boring. This inference assumes that Alex shouldn’t buy a boring animal. For the claim that Alex shouldn’t buy a dog, the reason given is that Alex doesn’t have time to walk a dog. "
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","7","What is assumed when the claim “Alex doesn’t have time to walk a dog,” is used to support the claim that Alex shouldn’t buy a dog?","AQ005E_image_06.png","Alex is going to buy a pet.","Walking a dog requires time.","Alex shouldn’t buy an animal that he doesn’t have time for.","Alex shouldn’t buy a playful animal.","Walking a dog would be a poor way to spend his time.","Alex shouldn’t buy an animal that he doesn’t have time for.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet. For the claim that Alex shouldn’t buy a hamster, the reason given is that hamsters are boring. This inference assumes that Alex shouldn’t buy a boring animal. For the claim that Alex shouldn’t buy a dog, the reason given is that Alex doesn’t have time to walk a dog. This inference assumes that Alex shouldn’t buy an animal that he doesn’t have time for."
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","8","Which of the following is used to directly oppose the claim “Alex shouldn’t buy a dog”?","AQ005E_image_07.png","Alex should buy a dog.","Alex does have time to walk a dog.","Dogs are more playful than cats.","Dogs are better than hamsters.","There is no objection given.","Dogs are more playful than cats.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet. For the claim that Alex shouldn’t buy a hamster, the reason given is that hamsters are boring. This inference assumes that Alex shouldn’t buy a boring animal. For the claim that Alex shouldn’t buy a dog, the reason given is that Alex doesn’t have time to walk a dog. This inference assumes that Alex shouldn’t buy an animal that he doesn’t have time for. For the claim Alex shouldn’t buy a dog, the objection given is that dogs are more playful than cats. "
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","9","What is assumed when the claim “dogs are more playful than cats,” is used to oppose the claim that Alex shouldn’t buy a dog over a cat?","AQ005E_image_08.png","Alex should buy a dog.","Alex should buy the more playful animal.","Alex should buy a cat.","Alex should buy an animal he has time for.","Alex has time for a dog.","Alex should buy the more playful animal.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. Additionally, the argument contains the unstated assumption that Alex should buy a pet. For the claim that Alex shouldn’t buy a hamster, the reason given is that hamsters are boring. This inference assumes that Alex shouldn’t buy a boring animal. For the claim that Alex shouldn’t buy a dog, the reason given is that Alex doesn’t have time to walk a dog. This inference assumes that Alex shouldn’t buy an animal that he doesn’t have time for. For the claim Alex shouldn’t buy a dog, the objection given is that dogs are more playful than cats. This inference assumes that Alex should buy the more playful animal."
"FQ006E","Should fast food commercials be banned? Some people think we have the same reasons to ban fast food commercials as we have to ban cigarette commercials. But while I agree that we have excellent reasons to ban cigarette commercials, I think the cases are very different. After all, junk food isn't addictive like cigarettes!","1","What is the main question that is at issue in this passage?","fastfoot_image_00.png","Whether junk food is addictive like cigarettes","Whether we have the same reasons to ban fast food commercials as we have to ban cigarette commercials","Whether fast food commercials on television should be banned","Whether we have excellent reasons to ban cigarette commercials","Whether cigarette commercials and junk food commercials are very different cases","Whether fast food commercials on television should be banned","The main question that is at issue in this passage is whether fast food commercials on television should be banned."
"FQ006E","Should fast food commercials be banned? Some people think we have the same reasons to ban fast food commercials as we have to ban cigarette commercials. But while I agree that we have excellent reasons to ban cigarette commercials, I think the cases are very different. After all, junk food isn't addictive like cigarettes!","2","Which of the following is used to directly support the claim “fast food commercials on television should be banned”?","fastfoot_image_01.png","Cigarettes are addictive, and if cigarettes are addictive, then we should ban cigarette commercials.","Junk food and cigarettes will both make you gain weight.","The cases of cigarette commercials and fast food commercials are very different because junk food isn’t addictive like cigarettes.","Fast food commercials on television are just as bad as cigarette commercials on television.","We have the same excellent reasons to ban junk food commercials as we had to ban cigarette commercials.","We have the same excellent reasons to ban junk food commercials as we had to ban cigarette commercials.","The main question that is at issue in this passage is whether fast food commercials on television should be banned. The reason given in support for the claim that they should be is that we have the same excellent reasons to ban junk food commercials as we had to ban cigarette commercials."
"FQ006E","Should fast food commercials be banned? Some people think we have the same reasons to ban fast food commercials as we have to ban cigarette commercials. But while I agree that we have excellent reasons to ban cigarette commercials, I think the cases are very different. After all, junk food isn't addictive like cigarettes!","3","Which of the following is used to directly oppose the claim “we have the same reasons to ban fast food commercials as we have to ban cigarette commercials”?","fastfoot_image_02.png","Cigarettes are addictive while junk food is not.","We do not have the same reasons to ban fast food commercials as we have to ban cigarette commercials.","Cigarette commercials are the only commercials that need to be banned for promoting an addictive product.","We do not have excellent reasons to ban fast food commercials because the cigarettes and junk food are not the same thing.","There is no objection given.","Cigarettes are addictive while junk food is not.","The main question that is at issue in this passage is whether fast food commercials on television should be banned. The reason given in support for the claim that they should be is that we have the same excellent reasons to ban junk food commercials as we had to ban cigarette commercials. The objection given to this claim is that cigarettes are addictive while junk food is not."
"FQ006E","Should fast food commercials be banned? Some people think we have the same reasons to ban fast food commercials as we have to ban cigarette commercials. But while I agree that we have excellent reasons to ban cigarette commercials, I think the cases are very different. After all, junk food isn't addictive like cigarettes!","4","What is assumed when the claim “cigarettes are addictive and junk food is not addictive” is used to oppose the claim that we have the same reasons to ban fast food commercials as we have to ban cigarette commercials?","fastfoot_image_03.png","The cases of cigarettes and junk food are very different.","Cigarettes are addictive.","Junk food is not addictive.","We have excellent reasons to ban cigarette commercials.","Being addictive is one reason that cigarette commercials were banned.","Being addictive is one reason that cigarette commercials were banned.","The main question that is at issue in this passage is whether fast food commercials on television should be banned. The reason given in support for the claim that they should be is that we have the same excellent reasons to ban junk food commercials as we had to ban cigarette commercials. The objection given to this claim is that cigarettes are addictive while junk food is not. This inference assumes that being addictive is one reason that cigarette commercials were banned."
"FQ003N","While afternoon sleepiness may just seem like a good reason to grab a cup of coffee, when people are tired on the job serious problems can occur. Sleepy people make more mistakes and have poorer judgment. An easy solution to this problem is to introduce napping breaks along with the other breaks the companies give their workers. However, there is a serious concern that people will often end up even more tired and groggier after a nap, making such napping breaks ineffective.","1","What is the main issue at stake in the passage?","napping_image_00.png","Whether afternoon sleepiness is a good reason to grab a cup of coffee.","Whether companies should establish napping breaks at work.","Whether napping breaks would be effective.","Whether napping breaks would reduce the number of sleepy workers.","Whether sleepy people make more mistakes and have poorer judgment.","Whether companies should establish napping breaks at work.","The main issue at stake in the passage is whether companies should establish napping breaks at work."
"FQ003N","While afternoon sleepiness may just seem like a good reason to grab a cup of coffee, when people are tired on the job serious problems can occur. Sleepy people make more mistakes and have poorer judgment. An easy solution to this problem is to introduce napping breaks along with the other breaks the companies give their workers. However, there is a serious concern that people will often end up even more tired and groggier after a nap, making such napping breaks ineffective.","2","Which of the following is used to directly support the claim “companies should establish napping breaks at work”?","napping_image_01.png","Companies have a responsibility to the health of their workers.","Napping breaks would reduce the number of sleepy workers.","Taking a nap does not make you even more tired.","Companies want to make decisions that will benefit themselves, such as making sure serious problems do not occur.","Napping breaks would reduce the number of sleepy workers in a more cost effective way than coffee breaks.","Napping breaks would reduce the number of sleepy workers.","The main issue at stake in the passage is whether companies should establish napping breaks at work. The reason given to support the claim that companies should do so is that napping breaks would reduce the number of sleepy workers."
"FQ003N","While afternoon sleepiness may just seem like a good reason to grab a cup of coffee, when people are tired on the job serious problems can occur. Sleepy people make more mistakes and have poorer judgment. An easy solution to this problem is to introduce napping breaks along with the other breaks the companies give their workers. However, there is a serious concern that people will often end up even more tired and groggier after a nap, making such napping breaks ineffective.","3","What is assumed when the claim “napping breaks would reduce the number of sleepy workers"" is used to support the claim that companies should establish napping breaks at work?","napping_image_02.png","Taking a nap does not make you even more tired.","Reducing the number of sleepy workers benefits companies.","Sleepy workers make more mistakes and have poorer judgment.","Companies want to make decisions that will benefit themselves.","Companies should establish napping breaks at work.","Reducing the number of sleepy workers benefits companies.","The main issue at stake in the passage is whether companies should establish napping breaks at work. The reason given to support the claim that companies should do so is that napping breaks would reduce the number of sleepy workers. This inference assumes that reducing the number of sleepy workers benefits companies."
"FQ003N","While afternoon sleepiness may just seem like a good reason to grab a cup of coffee, when people are tired on the job serious problems can occur. Sleepy people make more mistakes and have poorer judgment. An easy solution to this problem is to introduce napping breaks along with the other breaks the companies give their workers. However, there is a serious concern that people will often end up even more tired and groggier after a nap, making such napping breaks ineffective.","4","Which of the following is used to directly support the claim “reducing the number of sleepy workers benefits companies”?","napping_image_03.png","Sleepy workers make more mistakes and have poorer judgment.","You will definitely have more energy after taking a nap.","Reducing the number of sleepy workers means that they no longer have a good reason to grab a cup of coffee, which is a poor way of spending money.","Companies already benefit from the other breaks they give workers.","People are not usually more tired and groggy after a nap.","Sleepy workers make more mistakes and have poorer judgment.","The main issue at stake in the passage is whether companies should establish napping breaks at work. The reason given to support the claim that companies should do so is that napping breaks would reduce the number of sleepy workers. This inference assumes that reducing the number of sleepy workers benefits companies. The reason given to support the claim that reducing the number of sleepy workers benefits companies is that sleepy workers make more mistakes and have poorer judgment."
"FQ003N","While afternoon sleepiness may just seem like a good reason to grab a cup of coffee, when people are tired on the job serious problems can occur. Sleepy people make more mistakes and have poorer judgment. An easy solution to this problem is to introduce napping breaks along with the other breaks the companies give their workers. However, there is a serious concern that people will often end up even more tired and groggier after a nap, making such napping breaks ineffective.","5","Which of the following is used to directly oppose the claim “napping breaks would reduce the number of sleepy workers”?","napping_image_04.png","Taking a nap can make you even more tired.","There are serious concerns about napping breaks.","Napping breaks will introduce more problems into the workplace.","Serious problems can occur when people are tired on the job.","Napping breaks do not reduce the number of sleepy workers.","Taking a nap can make you even more tired.","The main issue at stake in the passage is whether companies should establish napping breaks at work. The reason given to support the claim that companies should do so is that napping breaks would reduce the number of sleepy workers. This inference assumes that reducing the number of sleepy workers benefits companies. The reason given to support the claim that reducing the number of sleepy workers benefits companies is that sleepy workers make more mistakes and have poorer judgment. The objection given to the claim that napping breaks would reduce the number of sleepy workers is that taking a nap can make you even more tired."
"SQ002D","People often tell me that a good life is supposed to end in old age, but I disagree. I think we have a moral duty to eradicate great evils, so I think we have a moral duty to eradicate aging. Consider an imaginary illness called ""HIV/SCHMAIDS."" SCHMAIDS is like HIV/AIDS, except at just the point when a person would die from AIDS, they would spontaneously recover from SCHMAIDS. Now, of course AIDS is way worse than SCHMAIDS. SCHMAIDS, even if it were real, would not be the great evil that AIDS is. So it is really death that is the great evil. But the number of deaths caused by AIDS is tiny compared to the unimaginable carnage of aging: in just two weeks, aging kills around 1.5 million people -- more people than AIDS kills in an entire year! Aging is the major cause of death on earth. So aging, too, is a great evil.","1","What does the argument conclude?","schmaids_image_00.png","We have a moral duty to eradicate great evils.","Aging is a great evil.","Aging is the major cause of death on earth.","We have a moral duty to eradicate aging.","Death is a great evil.","We have a moral duty to eradicate aging.","The conclusion of the passage is that we have a moral duty to eradicate aging."
"SQ002D","People often tell me that a good life is supposed to end in old age, but I disagree. I think we have a moral duty to eradicate great evils, so I think we have a moral duty to eradicate aging. Consider an imaginary illness called ""HIV/SCHMAIDS."" SCHMAIDS is like HIV/AIDS, except at just the point when a person would die from AIDS, they would spontaneously recover from SCHMAIDS. Now, of course AIDS is way worse than SCHMAIDS. SCHMAIDS, even if it were real, would not be the great evil that AIDS is. So it is really death that is the great evil. But the number of deaths caused by AIDS is tiny compared to the unimaginable carnage of aging: in just two weeks, aging kills around 1.5 million people -- more people than AIDS kills in an entire year! Aging is the major cause of death on earth. So aging, too, is a great evil.","2","Which of the following is used to directly support the claim “we have a moral duty to eradicate aging”?","schmaids_image_01.png","Death is a great evil.","Aging is the major cause of death on earth.","Aging is a great evil, and we have a moral duty to eradicate great evils.","Aging causes 1.5 million deaths every two weeks.","We have a moral duty to eradicate AIDS, and the case of AIDS and the case of aging are the same.","Aging is a great evil, and we have a moral duty to eradicate great evils.","The conclusion of the passage is that we have a moral duty to eradicate aging. The reason given to support this conclusion is that aging is a great evil, and we have a moral duty to eradicate great evils."
"SQ002D","People often tell me that a good life is supposed to end in old age, but I disagree. I think we have a moral duty to eradicate great evils, so I think we have a moral duty to eradicate aging. Consider an imaginary illness called ""HIV/SCHMAIDS."" SCHMAIDS is like HIV/AIDS, except at just the point when a person would die from AIDS, they would spontaneously recover from SCHMAIDS. Now, of course AIDS is way worse than SCHMAIDS. SCHMAIDS, even if it were real, would not be the great evil that AIDS is. So it is really death that is the great evil. But the number of deaths caused by AIDS is tiny compared to the unimaginable carnage of aging: in just two weeks, aging kills around 1.5 million people -- more people than AIDS kills in an entire year! Aging is the major cause of death on earth. So aging, too, is a great evil.","3","Which of the following is used to directly support the claim “aging is a great evil”?","schmaids_image_02.png","Death is a great evil, and aging is the major cause of death on earth.","AIDS is way worse than SCHMAIDS.","The case of aging is the same as the case of AIDS.","The number of deaths caused by AIDS is tiny compared to the number of deaths caused by aging.","The only difference between AIDS and SCHMAIDS is that AIDS can lead to death.","Death is a great evil, and aging is the major cause of death on earth.","The conclusion of the passage is that we have a moral duty to eradicate aging. The reason given to support this conclusion is that aging is a great evil, and we have a moral duty to eradicate great evils. The reason given to support the claim that aging is a great evil is that death is a great evil, and aging is the major cause of death on earth."
"SQ002D","People often tell me that a good life is supposed to end in old age, but I disagree. I think we have a moral duty to eradicate great evils, so I think we have a moral duty to eradicate aging. Consider an imaginary illness called ""HIV/SCHMAIDS."" SCHMAIDS is like HIV/AIDS, except at just the point when a person would die from AIDS, they would spontaneously recover from SCHMAIDS. Now, of course AIDS is way worse than SCHMAIDS. SCHMAIDS, even if it were real, would not be the great evil that AIDS is. So it is really death that is the great evil. But the number of deaths caused by AIDS is tiny compared to the unimaginable carnage of aging: in just two weeks, aging kills around 1.5 million people -- more people than AIDS kills in an entire year! Aging is the major cause of death on earth. So aging, too, is a great evil.","4","The claim “People often tell me that a good life is supposed to end in old age, but I disagree” is a logical component of the author’s argument.","schmaids_image_02.png","TRUE","FALSE","","","","FALSE","The conclusion of the passage is that we have a moral duty to eradicate aging. The reason given to support this conclusion is that aging is a great evil, and we have a moral duty to eradicate great evils. The reason given to support the claim that aging is a great evil is that death is a great evil, and aging is the major cause of death on earth. The reason given to support the claim death is a great evil is that the only difference between AIDS and SCHMAIDS is that AIDS can lead to death, and SCHMAIDS is not the great evil AIDS is."
